Accession,Name,BioRep1_techrep1,BioRep1_techrep2,BioRep1_union,BioRep1_mean,BioRep2,Union,Mean,kDA,AA_Length,num_peptides
Q5D862,Tax_Id=9606_Gene_Symbol=FLG2 Filaggrin-2,0.0,0.0,0.0,0.0,1.0,1.0,0.5,247.9098027,2391.0,171.0
Q7JRI6,CG5174_isoform_H,0.0,0.0,0.0,0.0,1.0,1.0,0.5,20.29718816,188.0,23.0
Q7KSA0,CG17838_isoform_B,0.0,0.0,0.0,0.0,1.0,1.0,0.5,77.48797005,711.0,89.0
Q86BI4,Failed_axon_connections_isoform_B,0.0,0.0,0.0,0.0,1.0,1.0,0.5,32.52049177,282.0,40.0
Q86S05,Protein_lingerer,0.0,0.0,0.0,0.0,1.0,1.0,0.5,139.38948677,1375.0,73.0
Q86S05-2,Isoform_A_of_Protein_lingerer,0.0,0.0,0.0,0.0,1.0,1.0,0.5,135.74575263,1343.0,78.0
Q86S05-3,Isoform_B_of_Protein_lingerer,0.0,0.0,0.0,0.0,1.0,1.0,0.5,134.46312135,1332.0,75.0
Q8IMZ4,P53_protein_long_form_variant_1,0.0,2.0,2.0,1.0,0.0,2.0,0.5,55.51140704,495.0,58.0
Q8IN47,CG17838_isoform_A,0.0,0.0,0.0,0.0,1.0,1.0,0.5,63.19005148,563.0,80.0
Q8IN48,CG17838_isoform_E,0.0,0.0,0.0,0.0,1.0,1.0,0.5,63.80747193,571.0,83.0
Q94522,Succinyl-CoA_ligase_[ADP/GDP-forming]_subunit_alpha_mitochondrial,0.0,0.0,0.0,0.0,1.0,1.0,0.5,34.34911433,328.0,38.0
Q95RI5,Failed_axon_connections,0.0,0.0,0.0,0.0,1.0,1.0,0.5,47.05780004,418.0,57.0
Q9N6D8,GH11591p,0.0,2.0,2.0,1.0,0.0,2.0,0.5,43.60778536,385.0,51.0
Q9V9W3,RE08669p,0.0,0.0,0.0,0.0,1.0,1.0,0.5,29.69977386,262.0,67.0
Q9VDI8,CG17838_isoform_D,0.0,0.0,0.0,0.0,1.0,1.0,0.5,76.84767071,707.0,90.0
Q9VHR8,Dipeptidyl_peptidase_3,0.0,0.0,0.0,0.0,1.0,1.0,0.5,89.12032983,786.0,95.0
Q9VHR8-2,Isoform_2_of_Dipeptidyl_peptidase_3,0.0,0.0,0.0,0.0,1.0,1.0,0.5,81.86764772,723.0,86.0
Q9VHS8,FI20117p1,0.0,0.0,0.0,0.0,1.0,1.0,0.5,45.59757228,399.0,51.0
Q9VIU7,Probable_dolichol-phosphate_mannosyltransferase,0.0,0.0,0.0,0.0,1.0,1.0,0.5,26.9671716,241.0,28.0
Q9VJ43,LD10783p,0.0,0.0,0.0,0.0,1.0,1.0,0.5,58.95176074,544.0,59.0
Q9VJ44,CG17597,0.0,0.0,0.0,0.0,1.0,1.0,0.5,43.85793678,407.0,42.0
Q9VK63,CG5776,1.0,1.0,1.0,1.0,0.0,1.0,0.5,89.02017721,799.0,85.0
Q9VMN5,60_kDa_heat_shock_protein_homolog_2_mitochondrial,0.0,0.0,0.0,0.0,1.0,1.0,0.5,61.53024344,576.0,77.0
Q9VPX6,Adenylyl_cyclase-associated_protein,0.0,0.0,0.0,0.0,1.0,1.0,0.5,84.41560882,783.0,73.0
Q9VPX7,Adenylyl_cyclase-associated_protein,0.0,0.0,0.0,0.0,1.0,1.0,0.5,45.55822101,424.0,41.0
Q9VZ34,CG2076,0.0,0.0,0.0,0.0,1.0,1.0,0.5,35.77587581,341.0,29.0
Q9VZI1,Calponin-like_protein_Chd64,0.0,0.0,0.0,0.0,1.0,1.0,0.5,20.61334042,188.0,23.0
Q9W401,Probable_citrate_synthase_mitochondrial,0.0,0.0,0.0,0.0,1.0,1.0,0.5,51.52359599,464.0,52.0
Q9W401-2,Isoform_B_of_Probable_citrate_synthase_mitochondrial,0.0,0.0,0.0,0.0,1.0,1.0,0.5,58.16173492,522.0,60.0
A1ZAS3,Uridine_kinase,0.0,1.0,1.0,0.5,0.0,1.0,0.25,62.95454346,561.0,66.0
A4V1F9,Ubiquitin-63E_isoform_C,0.0,1.0,1.0,0.5,0.0,1.0,0.25,85.72823975,763.0,111.0
A4V464,CG7033_isoform_C,1.0,0.0,1.0,0.5,0.0,1.0,0.25,57.74921694,533.0,66.0
A8MPH9,Transcription_factor_kayak_isoforms_D/sro,1.0,0.0,1.0,0.5,0.0,1.0,0.25,78.25406297,722.0,43.0
O46067,CG2918_isoform_A,1.0,0.0,1.0,0.5,0.0,1.0,0.25,103.36360913,923.0,123.0
P08985,Histone_H2A.v,0.0,1.0,1.0,0.5,0.0,1.0,0.25,14.95424564,141.0,25.0
P0CG69,Polyubiquitin,0.0,1.0,1.0,0.5,0.0,1.0,0.25,85.72823975,763.0,111.0
P21525,Transcription_factor_kayak_isoforms_A/B/F,1.0,0.0,1.0,0.5,0.0,1.0,0.25,80.51166387,755.0,42.0
P21525-2,Isoform_A_of_Transcription_factor_kayak_isoforms_A/B/F,1.0,0.0,1.0,0.5,0.0,1.0,0.25,62.75502917,595.0,46.0
P21525-3,Isoform_B_of_Transcription_factor_kayak_isoforms_A/B/F,1.0,0.0,1.0,0.5,0.0,1.0,0.25,57.42926811,546.0,38.0
P25007,Peptidyl-prolyl_cis-trans_isomerase,1.0,0.0,1.0,0.5,0.0,1.0,0.25,24.63244446,227.0,27.0
P29843,Heat_shock_70_kDa_protein_cognate_1,0.0,1.0,1.0,0.5,0.0,1.0,0.25,70.62489284,641.0,76.0
P48591,Ribonucleoside-diphosphate_reductase_large_subunit,1.0,0.0,1.0,0.5,0.0,1.0,0.25,91.90113162,812.0,91.0
P84051,Histone_H2A,0.0,1.0,1.0,0.5,0.0,1.0,0.25,13.33650084,124.0,25.0
Q02748,Eukaryotic_initiation_factor_4A,1.0,0.0,1.0,0.5,0.0,1.0,0.25,45.83135066,403.0,47.0
Q3YMU0,ERp60_(Fragment),1.0,0.0,1.0,0.5,0.0,1.0,0.25,55.31809478,489.0,67.0
Q4AB57,Histone_H2A,0.0,1.0,1.0,0.5,0.0,1.0,0.25,13.33748485,124.0,25.0
Q59E58,Zipper_isoform_C,1.0,0.0,1.0,0.5,0.0,1.0,0.25,226.76013189,1971.0,324.0
Q59E59,Zipper_isoform_D,1.0,0.0,1.0,0.5,0.0,1.0,0.25,231.91486601,2016.0,332.0
Q7KSU6,CG8036_isoform_D,1.0,0.0,1.0,0.5,0.0,1.0,0.25,62.98643317,580.0,58.0
Q8MQK4,Uridine_kinase,0.0,1.0,1.0,0.5,0.0,1.0,0.25,69.9390822,626.0,70.0
Q8STG9,DSec61alpha,1.0,0.0,1.0,0.5,0.0,1.0,0.25,52.13252869,476.0,35.0
Q8T6I0,EH_domain_containing_protein,1.0,0.0,1.0,0.5,0.0,1.0,0.25,60.94870594,534.0,72.0
Q8T8W3,AT21416p,1.0,0.0,1.0,0.5,0.0,1.0,0.25,61.52397226,540.0,72.0
Q95028,L-lactate_dehydrogenase,1.0,0.0,1.0,0.5,0.0,1.0,0.25,35.49656662,332.0,30.0
Q99323,Myosin_heavy_chain_non-muscle,1.0,0.0,1.0,0.5,0.0,1.0,0.25,231.92997214,2017.0,331.0
Q99323-1,Isoform_1_of_Myosin_heavy_chain_non-muscle,1.0,0.0,1.0,0.5,0.0,1.0,0.25,231.92997214,2017.0,331.0
Q99323-2,Isoform_2_of_Myosin_heavy_chain_non-muscle,1.0,0.0,1.0,0.5,0.0,1.0,0.25,226.77523802,1972.0,323.0
Q99323-4,Isoform_4_of_Myosin_heavy_chain_non-muscle,1.0,0.0,1.0,0.5,0.0,1.0,0.25,231.32550999,2012.0,327.0
Q9VHN7,CG8036_isoform_B,1.0,0.0,1.0,0.5,0.0,1.0,0.25,67.97099824,626.0,63.0
Q9VLC5,Aldehyde_dehydrogenase,1.0,0.0,1.0,0.5,0.0,1.0,0.25,56.96498724,520.0,54.0
Q9VVA6,Nuclear_migration_protein_NudC,1.0,0.0,1.0,0.5,0.0,1.0,0.25,37.75036796,332.0,56.0
Q9VZX9,Adenosylhomocysteinase,1.0,0.0,1.0,0.5,0.0,1.0,0.25,56.92368926,521.0,57.0
Q9W392,CG7033_isoform_A,1.0,0.0,1.0,0.5,0.0,1.0,0.25,58.00930002,535.0,66.0
Q9W418,GH17761p,0.0,1.0,1.0,0.5,0.0,1.0,0.25,59.97536317,534.0,78.0
